[2026-04-18 17:12:14] API | Broker 4 ENTRY: 19830
[2026-04-18 17:12:14] API | Broker 14 EXIT: -14943
[2026-04-18 17:12:14] API | Broker 33 ENTRY: 59108
[2026-04-18 17:12:14] API | Broker 44 ENTRY: 17789
[2026-04-18 17:12:14] API | Broker 47 ENTRY: 10888
[2026-04-18 17:12:14] API | Broker 48 ENTRY: 20090
[2026-04-18 17:12:14] API | Broker 58 EXIT: -90080
[2026-04-18 17:12:14] GBIME | Broker 42 EXIT: -16231
[2026-04-18 17:12:14] GBIME | Broker 58 EXIT: -27363
[2026-04-18 17:12:14] GVL | Broker 66 ENTRY: 14527
[2026-04-18 17:12:14] JBBL | Broker 45 ENTRY: 34860
[2026-04-18 17:12:14] JBBL | Broker 48 ENTRY: 11511
[2026-04-18 17:12:14] MEN | Broker 66 ENTRY: 9051
[2026-04-18 17:12:14] NRN | Broker 42 ENTRY: 14611
[2026-04-18 17:12:14] NRN | Broker 58 EXIT: -39961
[2026-04-18 17:12:14] SBI | Broker 17 ENTRY: 10759
[2026-04-18 17:12:14] SHINE | Broker 44 EXIT: -7096
[2026-04-18 17:12:14] SHINE | Broker 45 ENTRY: 7269
[2026-04-18 17:12:14] UPCL | Broker 34 ENTRY: 10115
[2026-04-18 17:12:14] UPCL | Broker 49 EXIT: -11595
[2026-04-18 17:12:14] UPCL | Broker 61 EXIT: -12935
[2026-04-18 17:12:14] Handled floorsheet_2026-04-18.csv
[2026-04-20 20:10:59] API | Broker 39 EXIT: -12012
[2026-04-20 20:10:59] API | Broker 44 ENTRY: 36105
[2026-04-20 20:10:59] API | Broker 49 EXIT: -12148
[2026-04-20 20:10:59] API | Broker 58 EXIT: -11168
[2026-04-20 20:10:59] API | Broker 64 ENTRY: 10292
[2026-04-20 20:10:59] API | Broker 75 ENTRY: 10556
[2026-04-20 20:10:59] GBIME | Broker 7 EXIT: -12908
[2026-04-20 20:10:59] GBIME | Broker 34 ENTRY: 16943
[2026-04-20 20:10:59] GVL | Broker 100 ENTRY: 5600
[2026-04-20 20:10:59] HDL | Broker 7 EXIT: -6689
[2026-04-20 20:10:59] JBBL | Broker 48 ENTRY: 14598
[2026-04-20 20:10:59] JBBL | Broker 66 EXIT: -12542
[2026-04-20 20:10:59] NRN | Broker 14 EXIT: -13716
[2026-04-20 20:10:59] NRN | Broker 58 EXIT: -12090
[2026-04-20 20:10:59] SBI | Broker 63 EXIT: -6000
[2026-04-20 20:10:59] SBI | Broker 77 ENTRY: 5033
[2026-04-20 20:10:59] Handled floorsheet_2026-04-20.csv
